x_m	y_m
-39.78778113044483	16.403566248980646
-39.43588430857907	16.215547658884294
-39.07063835449065	16.05162018153492
-38.69454890556442	15.913112095128335
-38.31012144007189	15.801351836973724
-37.91986159539789	15.717667923936908
-37.52627500892726	15.663388634213717
-37.13185013380371	15.639806922837595
-36.73830762172937	15.64661347346778
-36.34630405391834	15.681279895511235
-35.95641796648942	15.741114707197314
-35.569227975118125	15.823426585868697
-35.18531269547997	15.925523970198082
-34.8052505841371	16.04471553752815
-34.42973147699249	16.178565660345416
-34.06128599222599	16.32887462658073
-33.70395863192906	16.50092579482203
-33.36183876815619	16.70010570866086
-33.03841169915129	16.93012425482624
-32.734545706432655	17.187427716336288
-32.450400460241006	17.46649589439051
-32.18576513539551	17.761980750826595
-31.93744123545483	18.069924182098912
-31.700788219740822	18.387038747406773
-31.471156000774712	18.71004146112319
-31.243894809304415	19.035649258064453
-31.014354637407823	19.360579232160223
-30.777885556719504	19.68154823867013
-30.530448634115015	19.995270587040313
-30.270680268236188	20.298448891886125
-29.99794838132393	20.58778234688601
-29.711658207698296	20.860054157564058
-29.41296117107327	21.116017089150795
-29.105474474654955	21.362028037966237
-28.792998381551747	21.604860220394986
-28.47812986020796	21.848820595989462
-28.160516872349977	22.092169101219522
-27.8393636125877	22.33225633979404
-27.513874116417714	22.566432517638464
-27.18325257844993	22.792048079348305
-26.846703193294275	23.006453469519066
-26.503440497928032	23.20702514777797
-26.153188908039358	23.39241661745134
-25.79640364690548	23.563112537785013
-25.433596582154088	23.719738701561
-25.06527926318619	23.862920981117973
-24.69196355762947	23.993285169237936
-24.314161014884935	24.111457138259563
-23.932383502580258	24.218062680964856
-23.547142570116446	24.313727669692508
-23.158950085121223	24.399077897224494
-22.768317756108875	24.47473931545618
-22.375757132480445	24.541337717169554
-21.981780081863615	24.59949889514663
-21.586897994546042	24.649848880839418
-21.19150952901115	24.693108139469622
-20.79572853085656	24.730234692481538
-20.399624771283655	24.762223634728613
-20.003267862380426	24.79007014062099
-19.60672757534821	24.814769305012113
-19.210073601831713	24.837316143198777
-18.813374917465538	24.858698828603973
-18.416666845412067	24.87953480055913
-18.019934985913665	24.89989685341916
-17.623160961379103	24.91981402536932
-17.226326235103794	24.93931543415157
-16.829412588609866	24.95843019750788
-16.432401564749387	24.977187274066832
-16.03527582016789	24.995600108906043
-15.638037184668814	25.01339192436355
-15.240704672296767	25.03003080453033
-14.84329761532305	25.044976002706782
-14.445835505132294	25.057686772193247
-14.048337753552497	25.067622366290127
-13.650823851968276	25.07424203829776
-13.253311780187499	25.07709454277256
-12.85580670939388	25.07652070049737
-12.458307287123958	25.073274867836183
-12.06081192224431	25.068115299429873
-11.66331910317817	25.061799931692658
-11.265827318348768	25.055086939708744
-10.868335056179323	25.04873433944904
-10.470841043763102	25.043389165326943
-10.073345281100103	25.03916741097025
-9.675848086417	25.036026911342784
-9.278349937053838	25.0339252627384
-8.880850992123944	25.03282006145089
-8.483351808524045	25.03266914244408
-8.085852545367478	25.03343010201183
-7.688353679994251	25.035060536447922
-7.290855530631089	25.037518201159553
-6.89335849506133	25.040760692440518
-6.49586281195501	25.044745845254667
-6.0983689586521175	25.049431096782467
-5.700877253379394	25.05477428198777
-5.3033880143634855	25.060733076721053
-4.905901639387784	25.06726499771947
-4.508418367122284	25.07432787994686
-4.110938754463695	25.08187931969704
-3.713462960525359	25.08987707237718
-3.3159914626473204	25.098278654724425
-2.9185244994995734	25.10704182214593
-2.5210625484221754	25.11612425049221
-2.1236059276417993	25.12548361561373
-1.7261549553851319	25.135077513804333
-1.328709949878873	25.144863700471184
-0.9312713884630399	25.15479985146476
-0.5338395098076538	25.164843563078886
-0.1364147116960799	25.17495259072073
0.2610029263150168	25.185092247681293
0.6584142793490314	25.19524908888302
1.0558202225293325	25.20541332885523
1.4532217105360197	25.215575182127292
1.8506196184924484	25.225724863228525
2.248015060192062	25.235852427574958
2.6454088312015505	25.24594824880925
3.0428018862010004	25.256002461904078
3.4401951798704586	25.26600520183213
3.837589666889999	25.275946762679403
4.2349863019396805	25.28581727941856
4.6323859601429	25.295606966578976
5.029789675736394	25.305305959133303
5.427198244286894	25.31490455116755
5.824612779587775	25.324392957211074
6.222034077205782	25.333761232679866
6.6194630918209745	25.342999751216617
7.016900857670091	25.352098568237327
7.414348249876513	25.361047898271334
7.811806223120314	25.369838035404662
8.209275732081554	25.378459035053282
8.60675765188363	25.38690127085993
9.004252937206612	25.39515479824057
9.401762542730534	25.403209831724553
9.799287502692177	25.41105658584122
10.196828612658216	25.41868527511992
10.594386906865415	25.42608611408999
10.99196158974706	25.433317656462037
11.389543750955868	25.440798688557486
11.787121456991036	25.44906645658243
12.184682774351772	25.45865820674289
12.582216008207295	25.470111185244924
12.979709145500124	25.48396255873796
13.377150332286128	25.500748618747963
13.774492868798859	25.5199576567606
14.17158766583495	25.538003178445127
